"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","...8"
"PRR13",2740.90096021203,0.713152614729444,0.204230091296328,3.49190763321305,0.000479584060351269,0.0225408895294416,"Up"
"PRR15L",1847.54817113978,0.311534438855878,0.0966616148883811,3.22293848717114,0.00126882798420709,0.031976369985317,"Up"
"PSENEN",757.704270394094,0.621277959850835,0.188903982738773,3.28885580305617,0.00100595547028882,0.0290766920990994,"Up"
"PSMA7",7931.39766541483,0.208238026432701,0.0657258033551136,3.16828423241327,0.00153341524445313,0.0348865807600853,"Up"
"PSMB2",4616.11792724988,0.266087554127124,0.083004724206782,3.20569168405698,0.00134738271926973,0.0328282286401239,"Up"
"PSMD10",3379.06130097954,0.338237732494536,0.108224124822321,3.12534504714032,0.00177596607931502,0.0373071274394775,"Up"
"PSMG4",850.161425403759,0.450062262298094,0.141680537682485,3.17659905629884,0.00149012891031548,0.034588553932995,"Up"
"RAD51C",1449.80132871862,0.430885617226512,0.136850678972551,3.1485822391348,0.00164064552206753,0.0360294194396829,"Up"
"RAPGEF6",564.912502865034,0.288776488329273,0.0879075446853771,3.28500232105002,0.00101981531541402,0.0290766920990994,"Up"
"RBM3",17896.517694399,0.271209013705111,0.0709289847768336,3.82366975304138,0.000131479995938387,0.0125125811304436,"Up"
"RBX1",2502.79866440422,0.494939391109577,0.164571017288078,3.00745173278716,0.00263447957259308,0.0430116328147191,"Up"
"RENBP",63.3017171001423,0.734062608521804,0.23621427899053,3.10761318773296,0.00188604746972986,0.0382868300643603,"Up"
"RHBDD2",4892.42303900449,0.837657421656499,0.225423667334485,3.71592491401348,0.000202461705368327,0.0157520205831012,"Up"
"RNF144B",535.330152842338,0.369809849482155,0.112664211917525,3.28240745830515,0.00102924762883999,0.0290766920990994,"Up"
"RPA2",2016.17439270745,0.176562452431878,0.0585867800543149,3.01369101132012,0.00258090516046599,0.0425225211013247,"Up"
"RPL21",40898.6863874001,1.08968784486926,0.374754269371779,2.90773964148817,0.00364051292818147,0.049484989573478,"Up"
"RPL3L",65.6740191953277,1.01433695746445,0.345634888359475,2.93470651148359,0.00333863306888551,0.0477345415698294,"Up"
"SAP18",7415.23648716586,0.251392259517035,0.07749994429267,3.24377342218054,0.00117957537053406,0.0313657552114161,"Up"
"SAT1",6203.83529438613,0.523146012232136,0.121468630841667,4.3068404460247,1.65602970809312e-05,0.0047052739467386,"Up"
"SBDS",2295.41458058564,0.231525212088356,0.0726616247228648,3.18634785516296,0.00144081247214096,0.0338175053982582,"Up"
"SDCBP2",53.2519119798491,0.786210789474143,0.256819609661849,3.06133472638377,0.0022035260489347,0.0395886949822616,"Up"
"SELENOK",2919.71597816646,0.486246616548677,0.123312809605795,3.94319631596347,8.04027857418868e-05,0.0107210564495641,"Up"
"SEM1",3144.00824590385,0.543648100553297,0.17578215383724,3.09273773637266,0.00198319314558033,0.0384861901059594,"Up"
"SERINC2",2961.38438067403,0.335217367723177,0.102953853273379,3.25599632325617,0.00112995214736076,0.0308266598816775,"Up"
"SGPP1",905.159639199653,0.325146829586816,0.0913367437911406,3.55986885552136,0.000371040042145846,0.0204982996092488,"Up"
"SHLD1",194.240293416255,0.482669330291355,0.146843844316019,3.28695651179367,0.00101276472550312,0.0290766920990994,"Up"
"SKP1",9906.10403557987,0.309942996113075,0.0954521199532422,3.24710437300819,0.00116585626656967,0.0312647923060513,"Up"
"SLC25A16",2498.98508868793,0.246336990291589,0.0833332743607811,2.95604597540598,0.00311610637552092,0.046479768943273,"Up"
"SLC25A42",654.650720471423,0.38449162080387,0.128889028667185,2.98312140901223,0.00285324787292932,0.0446593360010729,"Up"
"SLC35D2",254.149986928284,0.276212092498332,0.0951833438282283,2.90189524121778,0.00370912553648521,0.0498398915371638,"Up"
"SLC51A",533.120693894395,0.397626796792624,0.0877660488947425,4.53053090346469,5.88356472846085e-06,0.00231738905742252,"Up"
"SLC6A16",23.9050058617938,2.06868973796902,0.700571041053016,2.95286218919299,0.00314842484411688,0.0467540762387382,"Up"
"SMIM27",259.220478342368,0.68525766854047,0.186405618126577,3.67616424562457,0.0002367671172505,0.0168491405120037,"Up"
"SMIM4",1387.20339053489,0.939458048932061,0.27781812922602,3.38155775344582,0.000720760799184428,0.0263781305811247,"Up"
"SNCAIP",18.9725180147902,1.24426093687548,0.360303099196922,3.45337283983626,0.000553623245973339,0.0238968061378355,"Up"
"SNRPN",1666.05689936186,1.19394618883471,0.349271687373131,3.41838812591529,0.000629932082354555,0.0250260218951799,"Up"
"SNX17",4186.41272865156,0.196572745000696,0.0636093167831312,3.09031372984069,0.00199945174729669,0.0385337764876567,"Up"
"SPATA33",281.66369905512,0.713833193620204,0.212666042752088,3.35659226260368,0.000789093880896144,0.0267358582656317,"Up"
"SPATA6L",40.0710354660914,1.60884135924204,0.533649988412978,3.01478758394913,0.00257159287465238,0.0424245505132443,"Up"
"SQOR",960.95324764237,0.629938649130947,0.177545558013179,3.54803947888229,0.000388110043398789,0.0206587234767224,"Up"
"SRA1",1506.38278448097,0.273867566955658,0.0923762260017871,2.96469750723915,0.00302980684900801,0.0456790496709294,"Up"
"SRP14",14238.3291509479,0.208836150891787,0.0694535907041002,3.00684455295496,0.00263974711441052,0.0430418792109057,"Up"
"STMP1",2588.38839341449,0.366942665029526,0.119213722567606,3.07802371343144,0.00208378332679524,0.039151490094271,"Up"
"SULT1A1",1261.04091037461,0.512128931889315,0.144760731631106,3.53776142272046,0.000403534496659635,0.0206587234767224,"Up"
