"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","...9","...10"
"CCDC80",-0.983504259619149,2.7574200125338,-4.19420409295625,5.49327885483271e-05,0.000211242592762893,1.11423436267945,"Down",NA,"'CCDC80',"
"NDP",-0.983761085203554,1.25400743897107,-5.78901565311683,6.53832707353667e-08,5.23352683283176e-07,7.6062548722466,"Down",NA,"'NDP',"
"SLIT3",-0.984326123573727,1.69762855421014,-5.56723256171913,1.7888048401274e-07,1.26155634014545e-06,6.62840133719152,"Down",NA,"'SLIT3',"
"VCL",-0.986284292921781,4.70180866821023,-6.25792406246759,7.32515435282873e-09,7.64578682335827e-08,9.7388008083746,"Down",NA,"'VCL',"
"CYBA",-0.987118710676574,3.73375659310976,-5.32039073420456,5.35356245378833e-07,3.33861972621706e-06,5.56564759176717,"Down",NA,"'CYBA',"
"RARRES1",-0.987155781847299,3.22749958986899,-4.31119333210027,3.50356229252789e-05,0.000141929627046605,1.54292878440701,"Down",NA,"'RARRES1',"
"CCL21",-0.987439379301059,3.35470517393704,-3.20029972643325,0.00178553492967634,0.004705609728101,-2.15865256744133,"Down",NA,"'CCL21',"
"LRRN3",-0.98744498759712,1.03320339129915,-5.32782521011531,5.18168930090206e-07,3.24361675018084e-06,5.5972442979225,"Down",NA,"'LRRN3',"
"VANGL2",-0.987786823774855,2.36874835975219,-6.92681425906172,2.85104761569345e-10,4.48555002138300e-09,12.9125687436203,"Down",NA,"'VANGL2',"
"LIMS2",-0.988299114276964,3.02679345846695,-5.57991378032461,1.68967402126703e-07,1.20185302462864e-06,6.68374206425359,"Down",NA,"'LIMS2',"
"FGF7",-0.991082974369204,1.43618586784386,-5.78207422120901,6.74955501777796e-08,5.37434053856722e-07,7.57533486524895,"Down",NA,"'FGF7',"
"PDPN",-0.991500591481965,2.15047796078571,-7.6497429026056,7.4956857026256e-12,1.91491181879943e-10,16.4810856070315,"Down",NA,"'PDPN',"
"ITIH5",-0.992023550775241,1.96938594241879,-7.97914268994208,1.37914268383219e-12,4.41954741454013e-11,18.1442851172456,"Down",NA,"'ITIH5',"
"LMO4",-0.992595630902695,3.47052182933227,-7.55783898922469,1.19785427967577e-11,2.89035749967736e-10,16.0207999635518,"Down",NA,"'LMO4',"
