"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","...8","...9","...10"
"LYRM9",296.451407731129,0.733725981717183,0.246907602278593,2.971662172189,0.0029619239985509,0.0451962349609389,"up",NA,"'LYRM9',"
"KRTCAP2",46.9439702913637,0.725736229497987,0.24652119853476,2.94391003212511,0.00324094197279305,0.047365906951775,"up",NA,"'KRTCAP2',"
"COX6A1",4992.47727415734,0.725114296888523,0.204690316600937,3.54249438336744,0.000396361863444481,0.0206587234767224,"up",NA,"'COX6A1',"
"AGER",58.479286825378,0.720978037352419,0.247112288892544,2.91761304378486,0.00352721769552558,0.0485558408806027,"up",NA,"'AGER',"
"TMEM14B",2885.580419573,0.718823570650766,0.187036850098833,3.84321897140017,0.000121431032799309,0.0121888701471769,"up",NA,"'TMEM14B',"
"HOXC4",526.532341145264,0.716321587516211,0.20627813140263,3.47260071945309,0.000515441565928707,0.0229926226516987,"up",NA,"'HOXC4',"
"SPATA33",281.66369905512,0.713833193620204,0.212666042752088,3.35659226260368,0.000789093880896144,0.0267358582656317,"up",NA,"'SPATA33',"
"PRR13",2740.90096021203,0.713152614729444,0.204230091296328,3.49190763321305,0.000479584060351269,0.0225408895294416,"up",NA,"'PRR13',"
"RAB13",977.996502741937,0.707039213650141,0.229207422145813,3.08471343131441,0.00203748363380063,0.0389602438287748,"up",NA,"'RAB13',"
"TARDBP",4175.2634142452,0.696279146895882,0.225066234078626,3.09366329314703,0.00197701721411587,0.0384861901059594,"up",NA,"'TARDBP',"
"BEX2",2548.40679610703,0.693422023645003,0.223496006733454,3.10261482421918,0.00191819118624394,0.0383098495659146,"up",NA,"'BEX2',"
"GATM",48.5800395415336,0.688859214206219,0.212619477453174,3.23986881379637,0.00119584703761,0.0314701229996594,"up",NA,"'GATM',"
"SMIM27",259.220478342368,0.68525766854047,0.186405618126577,3.67616424562457,0.0002367671172505,0.0168491405120037,"up",NA,"'SMIM27',"
"NDUFS5",8769.5741223152,0.669539852594947,0.228698289638301,2.92761198019392,0.00341576033248513,0.0478504329418418,"up",NA,"'NDUFS5',"
"CKS1B",1596.48921906293,0.664507591742406,0.218908942997151,3.03554337545293,0.00240102684917891,0.0406794355199295,"up",NA,"'CKS1B',"
"CIRBP",22740.016500629,0.662218112178695,0.171255853146466,3.86683491402968,0.000110257010366531,0.0118592694540537,"up",NA,"'CIRBP',"
"HLA-A",2586.48102733281,0.661111210577822,0.171138621145748,3.86301587655539,0.000111995725934945,0.0118621355435634,"up",NA,"'HLA-A',"
"DSN1",1183.11586775155,0.660467586427316,0.221130527730745,2.98677705518579,0.00281935244144266,0.0444594521657526,"up",NA,"'DSN1',"
"MMP10",125.153914663724,0.659916683416437,0.225608997695097,2.92504594301816,0.00344405372110107,0.0478504329418418,"up",NA,"'MMP10',"
"HEXA",737.922681485607,0.659122782263973,0.192772601096632,3.41917253029942,0.000628118862592723,0.0250260218951799,"up",NA,"'HEXA',"
"HELLS",938.755382006494,0.65467528317755,0.19465571884091,3.36324710661396,0.000770313781224409,0.0266229907014699,"up",NA,"'HELLS',"
"KRT10",1943.51515103478,0.653394807430306,0.183068778712825,3.56912200990464,0.000358179596794709,0.0201539983839309,"up",NA,"'KRT10',"
"CEACAM19",100.938128014377,0.65194661090053,0.183771300322811,3.54759752885966,0.000388761787992114,0.0206587234767224,"up",NA,"'CEACAM19',"
"TMED3",10888.541776458,0.650859985817208,0.20116522133331,3.23544985312744,0.00121451216966664,0.0315865190543761,"up",NA,"'TMED3',"
"DCTN3",2559.16589044392,0.648352917433153,0.19381872821853,3.34515102535466,0.000822377769601743,0.0268569234784888,"up",NA,"'DCTN3',"
"WRB",1150.82304276395,0.631364897551471,0.190743914390075,3.31001332110821,0.000932915312114276,0.0287493021855461,"up",NA,"'WRB',"
"SQOR",960.95324764237,0.629938649130947,0.177545558013179,3.54803947888229,0.000388110043398789,0.0206587234767224,"up",NA,"'SQOR',"
"ATP5F1E",10148.5033734465,0.627034049868383,0.195440130336516,3.20831780447922,0.00133513873774681,0.0328032917164928,"up",NA,"'ATP5F1E',"
"PSENEN",757.704270394094,0.621277959850835,0.188903982738773,3.28885580305617,0.00100595547028882,0.0290766920990994,"up",NA,"'PSENEN',"
"FBXO2",1274.53065359879,0.619360741744046,0.188229114706396,3.2904619602028,0.00100023024635482,0.0290766920990994,"up",NA,"'FBXO2',"
"POLG2",351.188733702006,0.607587558842748,0.208725239632806,2.91094435877342,0.00360338180344526,0.0490994856763503,"up",NA,"'POLG2',"
"ARIH2OS",207.951654039206,0.604282827044486,0.195275663356387,3.09451171056397,0.00197137152129661,0.0384861901059594,"up",NA,"'ARIH2OS',"
"ATP5PD",4304.81656552959,0.599533296184852,0.18970857992544,3.16028561502322,0.00157614549499293,0.0354838266208747,"up",NA,"'ATP5PD',"
"SNRPA1",1657.94367266219,0.5981164499141,0.18357269297496,3.25819946431622,0.0011212156738355,0.0308266598816775,"up",NA,"'SNRPA1',"
"MORN2",441.369214571948,0.594492867415945,0.191295153561054,3.10772571259211,0.00188532956749786,0.0382868300643603,"up",NA,"'MORN2',"
"NDUFAB1",5377.05512523128,0.588629670409243,0.185919566180357,3.16604477141597,0.00154527007627442,0.0349669372376351,"up",NA,"'NDUFAB1',"
"TMEM189",1449.86370073626,0.586525749868989,0.199320650364604,2.94262410240031,0.00325443314981253,0.047365906951775,"up",NA,"'TMEM189',"
"EMC8",1186.90146851694,0.585826230891586,0.196209384430692,2.98571973298515,0.00282911802229438,0.0444616004401477,"up",NA,"'EMC8',"
"OAZ3",225.862245059192,0.585729143921107,0.188242306954045,3.11157015337737,0.00186095251338074,0.0382868300643603,"up",NA,"'OAZ3',"
"HYKK",361.57108290513,0.585706866278731,0.196143369988694,2.98611605537568,0.00282545391818215,0.0444594521657526,"up",NA,"'HYKK',"
"ZBTB16",609.861669232347,-0.585696489919489,0.178414907720101,-3.28277775329365,0.00102789668761988,0.0290766920990994,"down",NA,"'ZBTB16',"
"ANKRD13B",479.980475113624,-0.588660779390573,0.177469352108061,-3.31697147929035,0.000909989053343178,0.0285005064956079,"down",NA,"'ANKRD13B',"
"ABL2",541.388657050489,-0.591530111924447,0.149421471732515,-3.95880260758888,7.53264587965514e-05,0.0105490520741304,"down",NA,"'ABL2',"
"FASTKD2",604.233465811493,-0.593534142366668,0.15056706320301,-3.94199189212055,8.08077088788156e-05,0.0107210564495641,"down",NA,"'FASTKD2',"
"TM9SF4",1396.74600382925,-0.597926605512304,0.178507317324001,-3.34959157123532,0.000809307994486168,0.0268434683223781,"down",NA,"'TM9SF4',"
"P4HA1",4184.24331362151,-0.600296880338585,0.17334179327902,-3.46308220875687,0.000534025208025509,0.0234524519928694,"down",NA,"'P4HA1',"
"ACACA",5902.7788794388,-0.605776940799583,0.19104271727263,-3.17089784655388,0.00151968574429495,0.034722364701748,"down",NA,"'ACACA',"
"SAPCD2",1259.82604042281,-0.606917168643008,0.157978178220707,-3.8417785005414,0.000122146039684874,0.0121888701471769,"down",NA,"'SAPCD2',"
"TANC2",546.992872641644,-0.60820071333054,0.173746871838442,-3.50049878248209,0.000464388359866787,0.0222748113692623,"down",NA,"'TANC2',"
"HIST2H2BE",1960.92605368124,-0.608967304387538,0.147188363214064,-4.13733321772105,3.51365670369759e-05,0.00660987001394097,"down",NA,"'HIST2H2BE',"
"NEXMIF",115.136263663903,-0.609433182544873,0.138636774361391,-4.39589845733309,1.10315498443249e-05,0.003558155320689,"down",NA,"'NEXMIF',"
"BTN3A2",182.486101381547,-0.612453753576046,0.159200823023071,-3.8470514281656,0.000119547882508629,0.0121888701471769,"down",NA,"'BTN3A2',"
"CHST3",280.12665830795,-0.612649464743809,0.192139838705477,-3.18856031560905,0.00142983177153396,0.0337358501217244,"down",NA,"'CHST3',"
"SPRED1",274.503455112878,-0.613763008786402,0.161555237245011,-3.79909075838613,0.000145227906584177,0.012800367374734,"down",NA,"'SPRED1',"
"PLEKHH1",2174.85537473883,-0.616047863087196,0.206828945866026,-2.97853794355381,0.0028962716712318,0.0449011170285432,"down",NA,"'PLEKHH1',"
"SLC35E2B",2407.4412527987,-0.618599085855315,0.195340717551514,-3.16676980411,0.00154142282846445,0.0349669372376351,"down",NA,"'SLC35E2B',"
"RALGAPA1",1006.84584623821,-0.621236810019389,0.195802809948974,-3.17276759297419,0.00150993341008395,0.0346114548185242,"down",NA,"'RALGAPA1',"
"TAF4B",218.151870243886,-0.6225377503804,0.176924274260092,-3.5186678197997,0.000433719401685484,0.0214376444660543,"down",NA,"'TAF4B',"
"PCSK7",276.984063872407,-0.626484376795625,0.204983178629792,-3.05627213405195,0.00224107751079021,0.0397914256264182,"down",NA,"'PCSK7',"
"COBL",810.872411120145,-0.634839776205233,0.216012325924001,-2.93890533093277,0.00329373663265894,0.0474991493341342,"down",NA,"'COBL',"
"FEM1A",131.512283507836,-0.635259832895707,0.206467975552391,-3.07679595925766,0.00209238473068897,0.039151490094271,"down",NA,"'FEM1A',"
"CADPS2",1045.51955289868,-0.636334133988087,0.196270878782107,-3.24212199963972,0.00118643221360678,0.0314701229996594,"down",NA,"'CADPS2',"
"PCNX2",836.174094037527,-0.653601895069358,0.199211274667781,-3.28094831057807,0.00103458702432276,0.0290920226900908,"down",NA,"'PCNX2',"
"HELZ2",1023.0839694759,-0.654516465320332,0.187208544608906,-3.49618905850515,0.000471954184822815,0.0224274599014406,"down",NA,"'HELZ2',"
"CAPN5",483.375683357812,-0.669177092886002,0.180298867498456,-3.71148805408737,0.000206044393509389,0.0159324143300143,"down",NA,"'CAPN5',"
"STX17",563.311442889608,-0.674212229247095,0.201266012067751,-3.34985635339234,0.000808534788040787,0.0268434683223781,"down",NA,"'STX17',"
"DUSP4",619.811617254871,-0.677735172912629,0.158425857862195,-4.27793279492384,1.88636949906369e-05,0.00493463226754126,"down",NA,"'DUSP4',"
"TRAPPC10",480.656973699131,-0.683630204160223,0.200445346951775,-3.41055661583752,0.000648304228625874,0.0254555342604377,"down",NA,"'TRAPPC10',"
"FOXO4",195.326058852175,-0.684197699650254,0.195534770835066,-3.49911014152759,0.00046681370717078,0.0222868180499262,"down",NA,"'FOXO4',"
"ANKS1B",103.765168226384,-0.690726569598332,0.180075479266294,-3.83576138412989,0.000125175896783474,0.0122579227664666,"down",NA,"'ANKS1B',"
