"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Category","GeneRatioNum","BgRatioNum"
"BP","GO:0042770","signal transduction in response to DNA damage","7/257","171/18805",0.0409356725146199,2.99531253555419,3.08531194058395,0.00925534792575097,0.324202237398019,0.3044516596901,"ATRX/CDC5L/ERCC6/FOXO4/PRKDC/SPRED1/TICRR",7,"BP",0.0272373540856031,0.00909332624302047
"BP","GO:0006417","regulation of translation","13/257","451/18805",0.0288248337028825,2.10914785129457,2.80643823629349,0.00942354498697259,0.324202237398019,0.3044516596901,"CSDE1/CTIF/DDX3X/EEF2/EIF2A/ELP1/FASTKD2/GEMIN5/IGFBP5/NCBP1/PLXNB2/PRKDC/SERBP1",13,"BP",0.0505836575875486,0.0239829832491359
"BP","GO:0001865","NK T cell differentiation","2/257","11/18805",0.181818181818182,13.3038556773965,4.80475335719191,0.00943345325545802,0.324202237398019,0.3044516596901,"PRDM1/ZBTB16",2,"BP",0.00778210116731518,0.000584950810954533
"BP","GO:0016479","negative regulation of transcription by RNA polymerase I","2/257","11/18805",0.181818181818182,13.3038556773965,4.80475335719191,0.00943345325545802,0.324202237398019,0.3044516596901,"DDX21/FLNA",2,"BP",0.00778210116731518,0.000584950810954533
"BP","GO:0042996","regulation of Golgi to plasma membrane protein transport","2/257","11/18805",0.181818181818182,13.3038556773965,4.80475335719191,0.00943345325545802,0.324202237398019,0.3044516596901,"ACSL3/ATP2C1",2,"BP",0.00778210116731518,0.000584950810954533
"BP","GO:0098880","maintenance of postsynaptic specialization structure","2/257","11/18805",0.181818181818182,13.3038556773965,4.80475335719191,0.00943345325545802,0.324202237398019,0.3044516596901,"DLG1/SHANK2",2,"BP",0.00778210116731518,0.000584950810954533
"BP","GO:0098903","regulation of membrane repolarization during action potential","2/257","11/18805",0.181818181818182,13.3038556773965,4.80475335719191,0.00943345325545802,0.324202237398019,0.3044516596901,"FLNA/NOS1AP",2,"BP",0.00778210116731518,0.000584950810954533
"BP","GO:2000048","negative regulation of cell-cell adhesion mediated by cadherin","2/257","11/18805",0.181818181818182,13.3038556773965,4.80475335719191,0.00943345325545802,0.324202237398019,0.3044516596901,"BMP6/NEXMIF",2,"BP",0.00778210116731518,0.000584950810954533
"BP","GO:0015748","organophosphate ester transport","7/257","172/18805",0.0406976744186047,2.97789792778934,3.06739599534284,0.00953901330166427,0.324202237398019,0.3044516596901,"ABCC4/ANKH/ATG9A/ATP8B2/LDLR/PANX1/SLC25A23",7,"BP",0.0272373540856031,0.00914650358947089
"BP","GO:0032535","regulation of cellular component size","11/257","353/18805",0.0311614730878187,2.28012257360479,2.85798750016299,0.00954756909110683,0.324202237398019,0.3044516596901,"ATP13A2/CREB1/DLG1/FLII/HSP90AA1/MAPT/MEGF8/RB1CC1/RPTOR/SHANK3/SLC12A8",11,"BP",0.0428015564202335,0.0187716032969955
"BP","GO:0048193","Golgi vesicle transport","10/257","306/18805",0.0326797385620915,2.39121588972814,2.88817999594996,0.00967207922090985,0.324898661141101,0.305105656917665,"ACSL3/ATP2C1/BICD2/COG5/EXOC4/LMAN1/MIA3/PREPL/RAB10/TRAPPC10",10,"BP",0.0389105058365759,0.0162722680138261
"BP","GO:0031503","protein-containing complex localization","8/257","216/18805",0.037037037037037,2.71004467502522,2.97542808294106,0.0098925717661603,0.327997498328348,0.308015711247762,"DLG1/DYNC2H1/FKBP4/GPHN/KIF3B/NOP9/NUP88/WDR35",8,"BP",0.0311284046692607,0.011486306833289
"BP","GO:0045834","positive regulation of lipid metabolic process","6/257","133/18805",0.0451127819548872,3.30095667183523,3.13459893142844,0.00997431573021546,0.327997498328348,0.308015711247762,"ACSL3/BMP6/CREB1/LDLR/NSMAF/RPTOR",6,"BP",0.0233463035019455,0.00707258707790481
