"Gene","log2FC","rank","background_pvalue","background_p.adjust"
"HADHB",0.304122003024973,3424,9.03929491357061e-05,0.000331480866941598
"POLR2F",0.303928470082858,3427,0.00015970342770718,0.000549781909253553
"TIMM50",0.297965213262915,3487,9.54660838360299e-05,0.000347921685424765
"NDUFS2",0.297549239546242,3494,4.25123466084695e-06,2.14689113395163e-05
"NDUFV1",0.294357666374014,3528,0.000150843207653568,0.000522233137035648
"COX7C",0.293836774940226,3532,0.00507827152872832,0.0118694443690021
"IDH2",0.293748129561301,3534,0.0117477320172569,0.0248188842270662
"UQCRFS1",0.293076948611734,3540,0.000353535406114848,0.00111032973316606
"NDUFB6",0.28403112159497,3656,0.00350701474050467,0.00856978344482385
"COX7B",0.283718124236522,3657,0.0128421366436679,0.0268115748009188
"CASP7",0.282067330405002,3676,0.0356968343502307,0.0655776301157915
"HTRA2",0.281853075733004,3679,9.00010289777437e-05,0.000330244836341395
"SLC25A3",0.281550896397187,3686,2.6606255820908e-05,0.000110956591055869
"ECH1",0.280713337195729,3697,0.011138891635201,0.0236970643615866
"PDP1",0.273503777468318,3799,0.00379606211852699,0.00918274012144272
"IDH1",0.271150212409175,3836,0.0799065029029006,0.131091447999316
"TIMM17A",0.270136140797501,3853,0.00146277887310572,0.00393913001564928
"COX6B1",0.258360944525482,3989,0.00682613676901747,0.0153990631373191
"ACAA1",0.256295023549917,4023,0.0270212788795211,0.0512694172653301
"ATP6V1C1",0.250588868494596,4108,0.000475983035675734,0.00144856816555364
"CYB5A",0.236826301170338,4297,0.0928035572045267,0.149365563124318
"UQCRC1",0.227034825756376,4421,0.00504567241594054,0.0118038233029675
"MRPS11",0.223806755362101,4469,0.00261643225351914,0.006597425668523
"CYCS",0.219631472837119,4533,0.0133994407970836,0.0278446172468178
"LRPPRC",0.218694144770733,4545,0.0143077103783121,0.0294373324814428
"MRPS30",0.217269032616128,4564,0.00245491593825208,0.00624272511876826
"NDUFC2",0.217012684863032,4566,0.0288434640798031,0.054189463105732
"AFG3L2",0.209449612509212,4679,0.0152044495907173,0.0310621188929986
"PDHX",0.186709247714831,5010,0.00962661924977184,0.0208390409121039
"NDUFA9",0.186206575859359,5018,0.00243510684293566,0.00619839208376014
"ATP6V0E1",0.184512489721501,5042,0.0679388897603118,0.114419862377602
"SDHB",0.18431059105154,5045,0.00978210790370595,0.0211480628440162
"NQO2",0.181903460341224,5087,0.042819336749542,0.0768308452914671
"SURF1",0.161725348858053,5426,0.100325978242492,0.159644073401633
"OXA1L",0.156173768582294,5515,0.00812597058242742,0.0179565664963246
"COX15",0.141565818772484,5759,0.0710927393263533,0.118928471154425
"NDUFS7",0.139824381832421,5793,0.0429795100518879,0.0770803859212355
"PRDX3",0.134205162173174,5879,0.204862464206759,0.290935917524542
