"Gene","log2FC","rank","in_gene_set","background_pvalue","background_p.adjust"
"NEFH",0.236066318701968,211,FALSE,0.515805526445279,0.968868653437711
"KCNMA1",0.235977520344754,212,FALSE,0.0137595563682069,0.779322151304911
"SMYD1",0.235847421026927,213,FALSE,0.00695384676091933,0.59101228773153
"DEPTOR",0.235682529518639,214,FALSE,0.00882381648558125,0.6455957779886
"MYF6",0.235314837655124,215,FALSE,0.0240041565400754,0.843403251480126
"SLC39A10",0.234350426394155,216,FALSE,0.0508247699553361,0.958910750271067
"PPP2R3A",0.233605053102403,217,FALSE,0.000335435402179806,0.0863297338595999
"NACC2",0.232791393543241,218,FALSE,0.00148913987123831,0.266775028109192
"GGT1",0.232728638570672,219,FALSE,0.0860776537156398,0.961953958507263
"KLHL40",0.231839468975121,220,FALSE,0.0125385562003059,0.748748488392777
"PAEP",0.231607779082977,221,FALSE,0.000990572067401643,0.192560887102449
"FAM83F",0.231229860749918,222,FALSE,0.00599237649233938,0.554842733325108
"DUS1L",0.230844044165544,223,FALSE,0.0196529630838203,0.843403251480126
"CROT",0.230820363073442,224,FALSE,0.0173569429260295,0.834640573914046
"CWH43",0.230177968343793,225,FALSE,0.255347756703654,0.961953958507263
"PCDHB3",0.22964863600692,226,FALSE,0.109774565040706,0.961953958507263
"ADGRF5",0.229061833400315,227,FALSE,0.272994232400709,0.961953958507263
"PRKAR2B",0.22890675163428,228,FALSE,0.0531237703203122,0.961137546427122
"CAP2",0.228667977766447,229,FALSE,0.0384307448470802,0.931359417229039
"NXPE3",0.22822292840586,230,FALSE,0.00197823299348317,0.314389269612238
"SLMAP",0.227380986285267,231,FALSE,0.000408036000443203,0.102137559398612
"RHOU",0.226916370273035,232,FALSE,0.174869351685444,0.961953958507263
"SLC9A3R1",0.226754060815446,233,FALSE,0.0165192534666887,0.834475471687762
"PLOD2",0.226270016861823,234,FALSE,0.121747892167598,0.961953958507263
"SEC24C",0.225732686664206,235,FALSE,0.0544813465609865,0.961137546427122
"MTPN",0.225266235644846,236,FALSE,0.00421582420860521,0.45854616526097
"SELENOM",0.223776341011515,237,FALSE,0.166129829596785,0.961953958507263
"BCL9L",0.223491999931263,238,FALSE,0.0258978478737333,0.845493436023088
"CLSTN2",0.222934130895756,239,FALSE,0.173799311345374,0.961953958507263
"MAFF",0.222668353957696,240,FALSE,0.0482695079702877,0.958910750271067
"SLC2A4",0.222654934598516,241,FALSE,0.034343911751918,0.910142923574761
"TGM4",0.222404236192621,242,FALSE,0.513083391087532,0.968247522012059
"MCCC2",0.222078279319312,243,FALSE,0.234865313807379,0.961953958507263
"PDE4D",0.221445919139861,244,FALSE,0.00859254378847388,0.645040712970846
"SYNPO2L",0.221243419952714,245,FALSE,0.0177593016911696,0.841536653297569
"MYOM1",0.220508317174005,246,FALSE,0.0784655545220288,0.961953958507263
"TMEM47",0.220146894372031,247,FALSE,0.0749192685828767,0.961953958507263
"MID1IP1",0.220118910770441,248,FALSE,0.0161759428440692,0.832628179125848
"TSC22D3",0.219747341470295,249,FALSE,0.0518169224189706,0.961137546427122
"GAS2L1",0.219431760306876,250,FALSE,0.0070951521906516,0.592007835524094
"TMBIM1",0.219377529270888,251,FALSE,0.0795103875211377,0.961953958507263
"LIMS1",0.219226420619708,252,FALSE,0.030514454638308,0.894459929084208
"SLC9A2",0.219206914229864,253,FALSE,0.0641613144431175,0.961953958507263
"SLC2A5",0.218993464178482,254,FALSE,0.0836348991845265,0.961953958507263
"PITX1",0.218833070953868,255,FALSE,0.0746886669021704,0.961953958507263
"SLC25A10",0.217919841830907,256,FALSE,0.043142166146664,0.954822705704888
"ALDH1B1",0.217810549408447,257,FALSE,0.00829705021660837,0.641543888195339
"PNCK",0.217443650389932,258,FALSE,0.0575843557310219,0.961953958507263
"ATP2A2",0.217301634997391,259,FALSE,0.0113146108029003,0.733162706387934
"KIAA1549",0.217180864292652,260,FALSE,0.019168067938222,0.843403251480126
"JPH2",0.216174140982221,261,FALSE,0.0520610030561369,0.961137546427122
"CREB3L2",0.215900587862722,262,FALSE,0.0173039191550099,0.834475471687762
"WNT2",0.21585162396231,263,FALSE,0.0975998406226804,0.961953958507263
"TACC2",0.215327875154572,264,FALSE,0.00838236182210142,0.643575199896047
"PCDHB5",0.214434705974925,265,FALSE,0.217723644783504,0.961953958507263
"CXCL13",0.214129896629631,266,FALSE,0.306108866589464,0.961953958507263
"AFF3",0.213982154328456,267,FALSE,0.185591510850224,0.961953958507263
"CDC42EP4",0.213976838478362,268,FALSE,0.00818802295059982,0.63667975904813
"PHGR1",0.213701846333916,269,FALSE,0.355629064396891,0.961953958507263
"STEAP1",0.213636150543057,270,FALSE,0.137124359619501,0.961953958507263
"HACD2",0.213565580927775,271,FALSE,0.0684607593755842,0.961953958507263
"ZNF467",0.213167042915619,272,FALSE,0.0794540819154059,0.961953958507263
"SLC38A4",0.213074461087536,273,FALSE,0.161618801787893,0.961953958507263
"ANKRD34B",0.213036804828701,274,FALSE,0.291137624612224,0.961953958507263
